study.ID,ID,publication.year,data.year,exp.year,exp.length,disturbance,focus,technique,intervention,paradigm,hypothesis,pathway,plant.species,target.plant,measure.success,outcome,measured.factor,treatment,control,unit,Nsites,n.t,n.c,ntotalsamples,mean.t,mean.c,sd.t,sd.c,se.t,se.c,p,df,measure.dispersion,lat,long,continent,country,ecosystem,elevation,MAP,MAT,aridity.index,potential.evaporation (mm),grazing,soil,notes,spatial.grain,term
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,plants,native annual seed bank density,no treatment,no control,seeds m-2,17,20,,340,-63.09,,3633.61,,812.5,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,plants,native perennial seed bank density,no treatment,no control,seeds m-2,17,20,,340,172.14,,28379.24,,6345.79,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,plants,introduced species seed bank density,no treatment,no control,seeds m-2,17,20,,340,-4910,,40280.53,,9007,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,plants,number of rare species in the above-ground community,no treatment,no control,number of species per site,17,20,,340,7.5762,,22.13,,4.949,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,plants,number of rare species in the below-ground community,no treatment,no control,number of species per site,17,20,,340,5.6625,,7.95,,1.7776,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,plants,native annual seed bank density,no treatment,no control,seeds m-2,17,20,,340,4716.96,,5973.39,,1335.69,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,plants,native perennial seed bank density,no treatment,no control,seeds m-2,17,20,,340,8153.16,,46653.64,,10432.07,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,plants,introduced species seed bank density,no treatment,no control,seeds m-2,17,20,,340,6442,,66223.39,,14808,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,plants,number of rare species in the above-ground community,no treatment,no control,number of species per site,17,20,,340,19.6534,,36.38,,8.1358,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,plants,number of rare species in the below-ground community,no treatment,no control,number of species per site,17,20,,340,-0.1508,,13.07,,2.9223,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,plants,native annual seed bank density,no treatment,no control,seeds m-2,17,20,,340,7251.29,,18659.72,,4172.44,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,plants,native perennial seed bank density,no treatment,no control,seeds m-2,17,20,,340,60347.4,,145736.76,,32587.73,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,plants,introduced species seed bank density,no treatment,no control,seeds m-2,17,20,,340,143795,,206863.12,,46256,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,plants,number of rare species in the above-ground community,no treatment,no control,number of species per site,17,20,,340,23.3165,,113.66,,25.4146,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,vegetation,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,plants,number of rare species in the below-ground community,no treatment,no control,number of species per site,17,20,,340,-9.0091,,40.83,,9.1288,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,,livestock,seed bank,model estimates,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"mine waste, T. wiseana","top soil, T. wiseana",percent,1,10,10,150,2.06,0.27,0.22,0.05,0.07,0.015,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"mine waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",percent,1,10,10,150,1.36,0.43,0.03,0.11,0.01,0.035,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"mine waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",percent,1,10,10,150,2.03,0.43,0.47,0.16,0.15,0.05,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"top soil and waste, T. wiseana","top soil, T. wiseana",percent,1,10,10,150,0.45,0.27,0.09,0.05,0.03,0.015,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"top soil and waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",percent,1,10,10,150,0.32,0.43,0.06,0.11,0.02,0.035,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"top soil and waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",percent,1,10,10,150,0.32,0.43,0.06,0.16,0.02,0.05,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended waste, T. wiseana","top soil, T. wiseana",percent,1,10,10,150,2.18,0.27,0.28,0.05,0.09,0.015,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",percent,1,10,10,150,0.68,0.43,0.22,0.11,0.07,0.035,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",percent,1,10,10,150,0.53,0.43,0.06,0.16,0.02,0.05,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended blend, T. wiseana","top soil, T. wiseana",percent,1,10,10,150,0.48,0.27,0.25,0.05,0.08,0.015,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended blend, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",percent,1,10,10,150,0.56,0.43,0.13,0.11,0.04,0.035,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,C mineralisation quotient,"amended blend, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",percent,1,10,10,150,0.41,0.43,0.09,0.16,0.03,0.05,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"mine waste, T. wiseana","top soil, T. wiseana",mg/kg NH3-N,1,10,10,150,2.93,50.3,5.28,3.98,1.67,1.26,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"mine waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",mg/kg NH3-N,1,10,10,150,0,53.23,0,4.62,0,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"mine waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",mg/kg NH3-N,1,10,10,150,0,57.84,0,4.62,0,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"top soil and waste, T. wiseana","top soil, T. wiseana",mg/kg NH3-N,1,10,10,150,35.42,50.3,2.78,3.98,0.88,1.26,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"top soil and waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",mg/kg NH3-N,1,10,10,150,42.17,53.23,6.67,4.62,2.11,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"top soil and waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",mg/kg NH3-N,1,10,10,150,35.42,57.84,1.33,4.62,0.42,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended waste, T. wiseana","top soil, T. wiseana",mg/kg NH3-N,1,10,10,150,31.44,50.3,1.96,3.98,0.62,1.26,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",mg/kg NH3-N,1,10,10,150,25.57,53.23,3.29,4.62,1.04,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",mg/kg NH3-N,1,10,10,150,27.24,57.84,1.33,4.62,0.42,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended blend, T. wiseana","top soil, T. wiseana",mg/kg NH3-N,1,10,10,150,41.5,50.3,5.28,3.98,1.67,1.26,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended blend, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",mg/kg NH3-N,1,10,10,150,44.01,53.23,1.99,4.62,0.63,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.2,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,N mineralisation ,"amended blend, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",mg/kg NH3-N,1,10,10,150,36.89,57.84,3.29,4.62,1.04,1.46,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.3,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,microbial activity,"mine waste, T. wiseana","top soil, T. wiseana",ppm CO2,1,10,10,150,2.5,4.13,0.95,8.22,0.3,2.6,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.3,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,microbial activity,"mine waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",ppm CO2,1,10,10,150,2.32,6.65,0.57,3.1,0.18,0.98,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.3,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,microbial activity,"mine waste, T. wiseana, A. ancistrocarpa and G. wickhamii","top soil, T. wiseana, A. ancistrocarpa and G. wickhamii",ppm CO2,1,10,10,150,2.86,7.36,1.39,6.23,0.44,1.97,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
3,3.3,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",vegetation,active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,plants,microbial activity,"top soil and waste, T. wiseana","top soil, T. wiseana",ppm CO2,1,10,10,150,4.64,4.13,2.25,8.22,0.71,2.6,0.1,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,,chemical composition,glasshouse,,
